Date,X,Y,T,Marker,Condition
2023-10-21 19:47:57.265417,1059,626,943.792,start,0
2023-10-21 19:47:57.300423,1069,606,978.7984,normal,0
2023-10-21 19:47:57.353828,1071,596,1032.2039,normal,0
2023-10-21 19:47:57.402210,1028,596,1080.5858,normal,0
2023-10-21 19:47:57.418229,1001,601,1095.599,normal,0
2023-10-21 19:47:57.426216,991,605,1104.591,normal,0
2023-10-21 19:47:57.474219,920,670,1151.582,normal,0
2023-10-21 19:47:57.561219,810,816,1239.5946,normal,0
2023-10-21 19:47:57.621236,802,836,1299.6111,normal,0
2023-10-21 19:47:57.725030,754,890,1402.4099,normal,0
2023-10-21 19:47:57.883566,752,891,1561.941,stop,0
2023-10-21 19:47:57.940579,751,891,1618.9541,start,0
2023-10-21 19:47:58.133623,615,1017,1811.9987,normal,0
2023-10-21 19:47:58.217428,603,1035,1895.8038,normal,0
2023-10-21 19:47:58.483999,600,1043,2162.3743,stop,0
2023-10-21 19:47:58.554013,599,1043,2232.3888,start,0
2023-10-21 19:47:58.744763,608,1026,2423.1387,normal,0
2023-10-21 19:47:58.801768,646,995,2480.1432,normal,0
2023-10-21 19:47:58.841778,700,869,2520.1537,normal,0
2023-10-21 19:47:58.900790,771,500,2579.1652,normal,0
2023-10-21 19:47:59.079831,776,497,2758.2066,stop,0
2023-10-21 19:47:59.145849,776,496,2824.2242,start,0
2023-10-21 19:47:59.193855,777,477,2872.2303,normal,0
2023-10-21 19:47:59.209859,771,465,2888.2349,normal,0
2023-10-21 19:47:59.229865,767,444,2908.2408,normal,0
2023-10-21 19:47:59.333889,768,111,3012.2641,normal,0
2023-10-21 19:47:59.377896,794,0,3056.2718,normal,0
2023-10-21 19:47:59.590966,817,0,3269.3414,stop,0
2023-10-21 19:47:59.766071,818,0,3443.4548,start,0
2023-10-21 19:47:59.862096,980,0,3539.4681,normal,0
2023-10-21 19:48:00.006125,1097,14,3683.501,normal,0
2023-10-21 19:48:00.193166,1075,9,3871.5418,normal,0
2023-10-21 19:48:00.233178,1039,9,3911.5533,normal,0
2023-10-21 19:48:00.265447,983,38,3943.8224,normal,0
2023-10-21 19:48:00.341462,722,212,4019.8373,normal,0
2023-10-21 19:48:00.381473,609,257,4059.8485,normal,0
2023-10-21 19:48:00.396477,598,259,4074.8526,normal,0
2023-10-21 19:48:00.588971,587,259,4267.3466,normal,0
2023-10-21 19:48:00.609976,577,260,4288.3514,normal,0
2023-10-21 19:48:00.721994,511,278,4400.3693,normal,0
2023-10-21 19:48:01.046689,506,281,4725.0643,stop,0
2023-10-21 19:48:02.356755,505,282,6035.1305,start,0
2023-10-21 19:48:02.405766,512,288,6084.1419,normal,0
2023-10-21 19:48:02.465780,561,289,6144.1558,normal,0
2023-10-21 19:48:02.497795,598,274,6176.1703,normal,0
2023-10-21 19:48:02.529804,628,250,6208.1799,normal,0
2023-10-21 19:48:02.545633,636,239,6224.008,normal,0
2023-10-21 19:48:02.585447,647,192,6263.822,normal,0
2023-10-21 19:48:02.637443,646,155,6315.8185,normal,0
2023-10-21 19:48:02.676452,642,145,6354.8273,normal,0
2023-10-21 19:48:02.956445,647,125,6634.8207,normal,0
2023-10-21 19:48:03.204193,650,121,6882.5688,stop,0
2023-10-21 19:48:03.245392,651,120,6923.7675,start,0
2023-10-21 19:48:03.473441,658,125,7151.8163,normal,0
2023-10-21 19:48:03.617472,1142,59,7295.8474,normal,0
2023-10-21 19:48:03.673485,1219,34,7351.86,normal,0
2023-10-21 19:48:03.872531,1247,19,7550.9061,normal,0
2023-10-21 19:48:03.949548,1279,13,7627.9235,normal,0
2023-10-21 19:48:04.170596,1288,13,7848.9715,stop,0
2023-10-21 19:48:05.461888,1280,13,9140.2635,start,0
2023-10-21 19:48:05.713144,1271,20,9391.5191,normal,0
2023-10-21 19:48:06.005206,1909,196,9683.5819,normal,0
2023-10-21 19:48:06.117232,1899,198,9795.6073,normal,0
2023-10-21 19:48:06.146240,1889,197,9823.6158,normal,0
2023-10-21 19:48:06.180247,1879,192,9858.6226,normal,0
2023-10-21 19:48:06.342032,1864,177,10020.4076,normal,0
2023-10-21 19:48:06.534305,1857,174,10212.6807,stop,0
2023-10-21 19:48:07.008984,1857,174,10687.3593,start,0
2023-10-21 19:48:07.208654,1765,286,10887.0297,normal,0
2023-10-21 19:48:07.292681,1755,287,10971.0562,normal,0
2023-10-21 19:48:07.518248,1746,269,11196.6238,stop,0
2023-10-21 19:48:08.029063,1746,269,11707.4386,start,0
2023-10-21 19:48:08.233109,1743,269,11911.4842,normal,0
2023-10-21 19:48:08.337132,1733,267,12015.5072,normal,0
2023-10-21 19:48:08.381141,1721,267,12059.5169,normal,0
2023-10-21 19:48:08.645200,1129,379,12323.5759,normal,0
2023-10-21 19:48:08.692212,1110,389,12370.5876,normal,0
2023-10-21 19:48:08.745223,1100,390,12423.5985,normal,0
2023-10-21 19:48:08.895260,1100,390,12573.6352,stop,0
2023-10-21 19:48:10.176216,1099,389,13854.5918,start,0
2023-10-21 19:48:10.261243,1090,389,13939.6186,normal,0
2023-10-21 19:48:10.429272,995,380,14107.6477,normal,0
2023-10-21 19:48:10.497295,986,373,14175.6707,normal,0
2023-10-21 19:48:10.712163,984,363,14390.5384,normal,0
2023-10-21 19:48:10.938206,984,361,14616.5818,stop,0
2023-10-21 19:48:11.001270,983,361,14679.6457,start,0
2023-10-21 19:48:11.085281,894,398,14763.6562,normal,0
2023-10-21 19:48:11.137293,737,424,14815.668,normal,0
2023-10-21 19:48:11.145296,709,424,14823.6716,normal,0
2023-10-21 19:48:11.153298,681,427,14831.6736,normal,0
2023-10-21 19:48:11.256320,476,426,14934.6954,normal,0
2023-10-21 19:48:11.414381,474,425,15092.7566,stop,0
2023-10-21 19:48:11.552454,473,425,15230.8293,start,0
2023-10-21 19:48:11.653489,384,418,15331.8649,normal,0
2023-10-21 19:48:11.661487,373,415,15339.8628,normal,0
2023-10-21 19:48:11.876344,211,379,15554.7191,normal,0
2023-10-21 19:48:12.146467,208,379,15824.8428,stop,0
2023-10-21 19:48:12.204505,207,379,15882.88,start,0
2023-10-21 19:48:12.328478,204,371,16006.8535,normal,0
2023-10-21 19:48:12.441519,198,381,16119.894,normal,0
2023-10-21 19:48:12.648512,190,401,16326.8878,normal,0
2023-10-21 19:48:12.706097,182,409,16383.4922,normal,0
2023-10-21 19:48:12.943381,174,424,16621.7563,stop,0
2023-10-21 19:48:14.588797,170,424,18267.1725,start,0
2023-10-21 19:48:14.612801,169,425,18291.1766,normal,0
2023-10-21 19:48:14.685811,175,436,18364.1865,normal,0
2023-10-21 19:48:14.986921,574,850,18665.2969,stop,0
2023-10-21 19:48:15.112950,574,851,18791.3256,start,0
2023-10-21 19:48:15.149959,581,871,18828.3343,normal,0
2023-10-21 19:48:15.165962,594,894,18844.3379,normal,0
2023-10-21 19:48:15.173966,597,906,18852.3419,normal,0
2023-10-21 19:48:15.249982,630,987,18928.3571,normal,0
2023-10-21 19:48:15.357005,652,1013,19035.3807,normal,0
2023-10-21 19:48:15.393014,661,1018,19071.3894,normal,0
2023-10-21 19:48:15.446026,684,1024,19124.4015,normal,0
2023-10-21 19:48:15.759111,688,1026,19437.4865,stop,0
2023-10-21 19:48:15.778103,689,1026,19456.4786,start,0
2023-10-21 19:48:15.945469,923,907,19623.8445,normal,0
2023-10-21 19:48:15.957473,948,889,19635.8482,normal,0
2023-10-21 19:48:15.981475,993,842,19659.8504,normal,0
2023-10-21 19:48:15.985475,999,833,19663.8509,normal,0
2023-10-21 19:48:16.033487,1061,744,19711.8626,normal,0
2023-10-21 19:48:16.065511,1100,713,19743.8866,normal,0
2023-10-21 19:48:16.072503,1112,709,19750.8782,normal,0
2023-10-21 19:48:16.255535,1132,698,19933.9105,stop,0
2023-10-21 19:48:16.301567,1133,698,19979.9423,start,0
2023-10-21 19:48:16.325560,1134,699,20003.9358,normal,0
2023-10-21 19:48:16.409572,1198,618,20087.9474,normal,0
2023-10-21 19:48:16.445581,1252,459,20123.9567,normal,0
2023-10-21 19:48:16.485590,1260,263,20163.9652,normal,0
2023-10-21 19:48:16.505593,1242,190,20183.968,normal,0
2023-10-21 19:48:16.513603,1233,169,20191.9783,normal,0
2023-10-21 19:48:16.641623,1170,83,20319.9983,normal,0
2023-10-21 19:48:16.661629,1161,75,20340.0046,normal,0
2023-10-21 19:48:16.693649,1141,68,20372.0249,normal,0
2023-10-21 19:48:16.768652,1091,35,20447.0271,normal,0
2023-10-21 19:48:17.062749,1075,14,20741.1244,stop,0
2023-10-21 19:48:17.529140,1078,14,21207.5155,start,0
2023-10-21 19:48:17.832966,1565,26,21511.3419,normal,0
2023-10-21 19:48:18.143123,1568,24,21821.4989,stop,0
2023-10-21 19:48:22.337529,1567,23,26015.9045,start,0
2023-10-21 19:48:22.365535,1556,35,26043.9108,normal,0
2023-10-21 19:48:22.393556,1535,40,26071.9314,normal,0
2023-10-21 19:48:22.456576,1526,45,26134.9514,normal,0
2023-10-21 19:48:22.481570,1525,55,26159.945,normal,0
2023-10-21 19:48:22.493572,1520,65,26171.9472,normal,0
2023-10-21 19:48:22.521570,1479,99,26199.9452,normal,0
2023-10-21 19:48:22.573585,1273,212,26251.96,normal,0
2023-10-21 19:48:22.589588,1207,285,26267.963,normal,0
2023-10-21 19:48:22.605589,1172,360,26283.9641,normal,0
2023-10-21 19:48:22.629595,1165,445,26307.9709,normal,0
2023-10-21 19:48:22.693612,1195,558,26371.987,normal,0
2023-10-21 19:48:22.863656,1195,565,26542.0312,stop,0
2023-10-21 19:48:22.865649,1194,564,26544.0245,start,0
2023-10-21 19:48:22.881666,1185,561,26560.0415,normal,0
2023-10-21 19:48:22.905658,1174,562,26584.0337,normal,0
2023-10-21 19:48:22.933671,1149,575,26612.0465,normal,0
2023-10-21 19:48:22.949674,1116,588,26628.0499,normal,0
2023-10-21 19:48:22.997678,953,612,26676.053,normal,0
2023-10-21 19:48:23.001678,938,612,26680.0532,normal,0
2023-10-21 19:48:23.041745,839,624,26720.1206,normal,0
2023-10-21 19:48:23.064751,817,631,26743.1264,normal,0
2023-10-21 19:48:23.449846,807,628,27128.2215,normal,0
2023-10-21 19:48:23.606888,806,628,27285.2639,stop,0
2023-10-21 19:48:28.512101,806,627,32190.4769,start,0
2023-10-21 19:48:28.738400,809,611,32416.7753,stop,0
2023-10-21 19:48:30.086088,813,613,33764.4637,start,0
2023-10-21 19:48:30.126100,860,612,33804.4751,normal,0
2023-10-21 19:48:30.134107,874,609,33812.482,normal,0
2023-10-21 19:48:30.149110,904,593,33827.4859,normal,0
2023-10-21 19:48:30.161108,927,568,33839.4837,normal,0
2023-10-21 19:48:30.208836,1019,427,33887.2114,normal,0
2023-10-21 19:48:30.261166,1057,391,33939.5414,normal,0
2023-10-21 19:48:30.333190,1063,371,34011.5659,normal,0
2023-10-21 19:48:30.421695,1066,325,34100.0703,normal,0
2023-10-21 19:48:30.631592,1061,317,34309.9675,stop,0
2023-10-21 19:48:30.852410,1060,317,34530.7852,start,0
2023-10-21 19:48:30.869931,1059,317,34548.3063,normal,0
2023-10-21 19:48:31.053972,830,447,34732.3476,normal,0
2023-10-21 19:48:31.085980,815,463,34764.355,normal,0
2023-10-21 19:48:31.169523,806,482,34847.8989,normal,0
2023-10-21 19:48:31.347398,805,486,35025.7738,stop,0
2023-10-21 19:48:31.998008,804,486,35676.3831,start,0
2023-10-21 19:48:32.086029,804,517,35764.404,normal,0
2023-10-21 19:48:32.134040,815,550,35811.414,normal,0
2023-10-21 19:48:32.298083,815,553,35976.4583,stop,0
2023-10-21 19:48:33.625379,815,552,37303.7547,start,0
2023-10-21 19:48:33.705396,805,551,37383.7715,normal,0
2023-10-21 19:48:33.725401,794,552,37403.7761,normal,0
2023-10-21 19:48:33.756407,773,559,37434.7828,normal,0
2023-10-21 19:48:33.789414,764,564,37467.7892,normal,0
2023-10-21 19:48:33.965281,756,571,37643.6569,normal,0
2023-10-21 19:48:34.115318,756,571,37793.6931,stop,0
2023-10-21 19:48:37.473438,755,566,41151.8136,start,0
2023-10-21 19:48:37.525452,710,550,41203.827,normal,0
2023-10-21 19:48:37.680522,314,480,41358.897,normal,0
2023-10-21 19:48:37.873867,270,480,41552.2424,normal,0
2023-10-21 19:48:37.921419,260,481,41599.7947,normal,0
2023-10-21 19:48:38.198550,244,485,41876.9252,stop,0
2023-10-21 19:48:38.520662,245,485,42199.0376,start,0
2023-10-21 19:48:39.043166,750,553,42721.5413,stop,0
2023-10-21 19:48:44.613683,750,554,48292.0581,start,0
2023-10-21 19:48:45.131076,750,573,48809.4518,stop,0
2023-10-21 19:48:52.220599,744,573,55898.9742,start,0
2023-10-21 19:48:52.249598,737,572,55927.9738,normal,0
2023-10-21 19:48:52.325522,213,261,56003.8972,normal,0
2023-10-21 19:48:52.357797,0,77,56036.1723,normal,0
2023-10-21 19:48:52.389802,0,23,56068.1772,normal,0
2023-10-21 19:48:52.465820,10,27,56144.1957,normal,0
2023-10-21 19:48:52.497826,18,52,56176.2016,normal,0
2023-10-21 19:48:52.620728,22,94,56299.1034,normal,0
2023-10-21 19:48:53.198146,21,68,56876.5217,stop,0
2023-10-21 19:48:53.720711,21,69,57399.086,start,0
2023-10-21 19:48:53.789705,28,82,57468.0807,normal,0
2023-10-21 19:48:53.833717,45,100,57512.0922,normal,0
2023-10-21 19:48:53.933738,147,185,57612.1135,normal,0
2023-10-21 19:48:54.033266,281,272,57711.6415,normal,0
2023-10-21 19:48:54.418353,734,486,58096.7285,stop,0
2023-10-21 19:48:54.981564,732,486,58659.9399,start,0
2023-10-21 19:48:55.082283,462,470,58759.6647,normal,0
2023-10-21 19:48:55.145296,295,507,58823.6716,normal,0
2023-10-21 19:48:55.157298,282,513,58835.6734,normal,0
2023-10-21 19:48:55.189305,264,528,58867.6806,normal,0
2023-10-21 19:48:55.782995,237,568,59461.3702,stop,0
2023-10-21 19:48:56.137311,239,568,59815.6868,start,0
2023-10-21 19:48:56.261340,530,589,59939.7158,normal,0
2023-10-21 19:48:56.305435,575,581,59983.8102,normal,0
2023-10-21 19:48:56.549482,583,574,60227.8577,normal,0
2023-10-21 19:48:56.775548,583,569,60453.9232,stop,0
2023-10-21 19:48:59.076672,582,566,62755.0475,start,0
2023-10-21 19:48:59.101669,581,564,62780.0444,normal,0
2023-10-21 19:48:59.153543,572,555,62831.918,normal,0
2023-10-21 19:48:59.173548,563,549,62851.9231,normal,0
2023-10-21 19:48:59.221560,470,521,62899.9353,normal,0
2023-10-21 19:48:59.237577,441,500,62915.9525,normal,0
2023-10-21 19:48:59.333587,159,5,63011.9623,normal,0
2023-10-21 19:48:59.337585,146,0,63015.9604,normal,0
2023-10-21 19:48:59.365592,89,0,63043.9674,normal,0
2023-10-21 19:48:59.457619,79,4,63135.9948,normal,0
2023-10-21 19:48:59.497637,74,36,63176.0121,normal,0
2023-10-21 19:48:59.537665,65,57,63216.0407,normal,0
2023-10-21 19:48:59.640655,58,65,63319.0303,normal,0
2023-10-21 19:48:59.817688,47,65,63496.0633,normal,0
2023-10-21 19:48:59.964464,27,67,63642.839,normal,0
2023-10-21 19:49:00.263767,24,68,63942.142,stop,0
2023-10-21 19:49:00.349805,25,68,64028.1804,start,0
2023-10-21 19:49:00.369804,43,72,64048.1792,normal,0
2023-10-21 19:49:00.489606,560,24,64167.9815,normal,0
2023-10-21 19:49:00.493607,570,21,64171.9821,normal,0
2023-10-21 19:49:00.533623,633,11,64211.9981,normal,0
2023-10-21 19:49:00.560614,643,7,64238.9891,normal,0
2023-10-21 19:49:00.781518,651,0,64459.8933,normal,0
2023-10-21 19:49:00.974568,653,0,64652.9434,stop,0
2023-10-21 19:49:01.608711,653,1,65287.0863,start,0
2023-10-21 19:49:01.884523,588,662,65562.8981,normal,0
2023-10-21 19:49:02.302607,586,653,65980.9825,stop,0
2023-10-21 19:49:02.672442,586,652,66350.8174,start,0
2023-10-21 19:49:02.692445,585,652,66370.8205,normal,0
2023-10-21 19:49:02.741476,542,643,66419.8516,normal,0
2023-10-21 19:49:02.940622,315,627,66618.9978,normal,0
2023-10-21 19:49:03.090670,315,627,66769.045,stop,0
2023-10-21 19:49:03.377857,315,626,67056.232,start,0
2023-10-21 19:49:03.480862,307,620,67159.2379,normal,0
2023-10-21 19:49:03.646908,305,620,67325.2833,stop,0
2023-10-21 19:49:04.448187,315,617,68126.5622,start,0
2023-10-21 19:49:04.476200,317,617,68154.5756,normal,0
2023-10-21 19:49:04.622054,470,553,68300.4292,normal,0
2023-10-21 19:49:04.653524,564,494,68331.8993,normal,0
2023-10-21 19:49:04.757532,849,68,68435.9077,normal,0
2023-10-21 19:49:04.777539,853,58,68455.9142,normal,0
2023-10-21 19:49:04.801064,859,49,68478.9189,normal,0
2023-10-21 19:49:04.841580,877,38,68519.9556,normal,0
2023-10-21 19:49:04.944612,945,16,68622.9876,normal,0
2023-10-21 19:49:05.094622,945,16,68772.9977,stop,0
2023-10-21 19:49:05.697765,939,17,69376.1405,start,0
