Date,X,Y,T,Marker,Condition
2023-11-23 00:14:36.500801,358,450,0.0,start,0
2023-11-23 00:14:38.869038,360,440,2368.2367,normal,0
2023-11-23 00:14:39.041184,367,432,2540.3832,normal,0
2023-11-23 00:14:39.061007,377,422,2560.2066,normal,0
2023-11-23 00:14:39.073023,385,411,2572.2225,normal,0
2023-11-23 00:14:39.085010,396,400,2584.2093,normal,0
2023-11-23 00:14:39.097596,407,391,2596.7948,normal,0
2023-11-23 00:14:39.109595,417,386,2608.7943,normal,0
2023-11-23 00:14:39.132568,427,385,2631.7674,normal,0
2023-11-23 00:14:39.149587,435,394,2648.7866,normal,0
2023-11-23 00:14:39.157580,441,411,2655.7857,normal,0
2023-11-23 00:14:39.160586,445,421,2659.7856,normal,0
2023-11-23 00:14:39.165574,450,433,2664.7734,normal,0
2023-11-23 00:14:39.169587,456,447,2668.7857,normal,0
2023-11-23 00:14:39.173595,463,465,2672.7944,normal,0
2023-11-23 00:14:39.176587,471,483,2675.7859,normal,0
2023-11-23 00:14:39.181595,479,502,2680.7945,normal,0
2023-11-23 00:14:39.185569,487,523,2684.7677,normal,0
2023-11-23 00:14:39.189580,497,546,2688.7795,normal,0
2023-11-23 00:14:39.193578,505,564,2691.7745,normal,0
2023-11-23 00:14:39.197578,515,583,2695.7941,normal,0
2023-11-23 00:14:39.200566,523,599,2699.765,normal,0
2023-11-23 00:14:39.204568,532,616,2703.767,normal,0
2023-11-23 00:14:39.208587,541,630,2707.7859,normal,0
2023-11-23 00:14:39.212566,549,642,2711.765,normal,0
2023-11-23 00:14:39.216577,557,653,2715.7766,normal,0
2023-11-23 00:14:39.220587,565,662,2719.7858,normal,0
2023-11-23 00:14:39.229576,578,676,2728.7756,normal,0
2023-11-23 00:14:39.236722,587,685,2735.9207,normal,0
2023-11-23 00:14:39.556657,597,689,3055.8564,normal,0
2023-11-23 00:14:39.568668,607,684,3067.8674,normal,0
2023-11-23 00:14:39.596649,617,683,3095.8479,normal,0
2023-11-23 00:14:39.652657,618,695,3151.8564,normal,0
2023-11-23 00:14:39.664657,618,706,3163.856,normal,0
2023-11-23 00:14:39.676651,618,723,3175.8506,normal,0
2023-11-23 00:14:39.684651,616,737,3183.85,normal,0
2023-11-23 00:14:39.692649,616,751,3191.8483,normal,0
2023-11-23 00:14:39.700671,614,766,3199.8703,normal,0
2023-11-23 00:14:39.708657,614,780,3207.8563,normal,0
2023-11-23 00:14:39.716658,614,792,3215.8568,normal,0
2023-11-23 00:14:39.728657,614,809,3227.8564,normal,0
2023-11-23 00:14:39.740651,614,824,3239.8503,normal,0
2023-11-23 00:14:39.752669,613,838,3251.8679,normal,0
2023-11-23 00:14:39.764647,611,850,3263.8458,normal,0
2023-11-23 00:14:39.780649,608,862,3279.8479,normal,0
2023-11-23 00:14:39.796669,603,873,3295.8677,normal,0
2023-11-23 00:14:39.816658,597,884,3315.8567,normal,0
2023-11-23 00:14:39.832669,590,893,3331.8683,normal,0
2023-11-23 00:14:39.848650,582,904,3347.8487,normal,0
2023-11-23 00:14:39.860646,575,914,3359.8454,normal,0
2023-11-23 00:14:39.872646,570,923,3371.8456,normal,0
2023-11-23 00:14:39.884647,564,935,3383.846,normal,0
2023-11-23 00:14:39.896677,561,946,3395.8759,normal,0
2023-11-23 00:14:39.912657,559,958,3411.8564,normal,0
2023-11-23 00:14:39.928669,559,969,3427.8677,normal,0
2023-11-23 00:14:39.944677,559,981,3443.8761,normal,0
2023-11-23 00:14:39.956668,561,992,3455.8676,normal,0
2023-11-23 00:14:39.968677,566,1007,3467.876,normal,0
2023-11-23 00:14:39.976668,570,1017,3475.8676,normal,0
2023-11-23 00:14:39.988651,577,1029,3487.8497,normal,0
2023-11-23 00:14:40.000646,583,1043,3499.8456,normal,0
2023-11-23 00:14:40.014658,589,1054,3513.8567,normal,0
2023-11-23 00:14:40.028677,594,1065,3527.8764,normal,0
2023-11-23 00:14:40.049658,599,1076,3548.8568,normal,0
2023-11-23 00:14:40.127414,599,1079,3625.5837,stop,0
2023-11-23 00:14:40.362410,600,1079,3860.6205,start,0
2023-11-23 00:14:40.468402,609,1071,3967.6008,normal,0
2023-11-23 00:14:40.492399,618,1065,3991.5986,normal,0
2023-11-23 00:14:40.512402,627,1058,4011.601,normal,0
2023-11-23 00:14:40.524399,635,1050,4023.598,normal,0
2023-11-23 00:14:40.537409,644,1041,4035.5984,normal,0
2023-11-23 00:14:40.549408,656,1029,4048.6072,normal,0
2023-11-23 00:14:40.557415,664,1019,4056.6146,normal,0
2023-11-23 00:14:40.565407,674,1005,4064.6066,normal,0
2023-11-23 00:14:40.573404,685,990,4072.6031,normal,0
2023-11-23 00:14:40.577403,692,981,4076.6023,normal,0
2023-11-23 00:14:40.580399,698,970,4079.5983,normal,0
2023-11-23 00:14:40.584402,705,960,4083.6014,normal,0
2023-11-23 00:14:40.589404,712,949,4088.603,normal,0
2023-11-23 00:14:40.592407,720,936,4091.6058,normal,0
2023-11-23 00:14:40.596399,727,923,4095.5985,normal,0
2023-11-23 00:14:40.600402,734,909,4099.6009,normal,0
2023-11-23 00:14:40.605403,741,895,4103.6016,normal,0
2023-11-23 00:14:40.608399,748,881,4107.5986,normal,0
2023-11-23 00:14:40.613402,755,865,4111.5979,normal,0
2023-11-23 00:14:40.616402,760,850,4115.6011,normal,0
2023-11-23 00:14:40.620399,766,835,4119.5983,normal,0
2023-11-23 00:14:40.625416,772,819,4124.6151,normal,0
