Date,X,Y,T,Marker,Condition
2023-11-23 00:14:36.500801,358,450,0.0,start,0
2023-11-23 00:14:38.869038,360,440,2368.2367,normal,0
2023-11-23 00:14:39.061007,377,422,2560.2066,normal,0
2023-11-23 00:14:39.073023,385,411,2572.2225,normal,0
2023-11-23 00:14:39.097596,407,391,2596.7948,normal,0
2023-11-23 00:14:39.109595,417,386,2608.7943,normal,0
2023-11-23 00:14:39.132568,427,385,2631.7674,normal,0
2023-11-23 00:14:39.149587,435,394,2648.7866,normal,0
2023-11-23 00:14:39.204568,532,616,2703.767,normal,0
2023-11-23 00:14:39.216577,557,653,2715.7766,normal,0
2023-11-23 00:14:39.236722,587,685,2735.9207,normal,0
2023-11-23 00:14:39.556657,597,689,3055.8564,normal,0
2023-11-23 00:14:39.568668,607,684,3067.8674,normal,0
2023-11-23 00:14:39.596649,617,683,3095.8479,normal,0
2023-11-23 00:14:39.676651,618,723,3175.8506,normal,0
2023-11-23 00:14:39.684651,616,737,3183.85,normal,0
2023-11-23 00:14:39.692649,616,751,3191.8483,normal,0
2023-11-23 00:14:39.700671,614,766,3199.8703,normal,0
2023-11-23 00:14:39.752669,613,838,3251.8679,normal,0
2023-11-23 00:14:39.780649,608,862,3279.8479,normal,0
2023-11-23 00:14:39.816658,597,884,3315.8567,normal,0
2023-11-23 00:14:39.860646,575,914,3359.8454,normal,0
2023-11-23 00:14:39.884647,564,935,3383.846,normal,0
2023-11-23 00:14:39.912657,559,958,3411.8564,normal,0
2023-11-23 00:14:39.944677,559,981,3443.8761,normal,0
2023-11-23 00:14:39.956668,561,992,3455.8676,normal,0
2023-11-23 00:14:39.976668,570,1017,3475.8676,normal,0
2023-11-23 00:14:39.988651,577,1029,3487.8497,normal,0
2023-11-23 00:14:40.049658,599,1076,3548.8568,normal,0
2023-11-23 00:14:40.127414,599,1079,3625.5837,stop,0
2023-11-23 00:14:40.362410,600,1079,3860.6205,start,0
2023-11-23 00:14:40.468402,609,1071,3967.6008,normal,0
2023-11-23 00:14:40.512402,627,1058,4011.601,normal,0
2023-11-23 00:14:40.557415,664,1019,4056.6146,normal,0
2023-11-23 00:14:40.577403,692,981,4076.6023,normal,0
2023-11-23 00:14:40.613402,755,865,4111.5979,normal,0
2023-11-23 00:14:40.641406,787,763,4139.5985,normal,0
2023-11-23 00:14:40.673408,798,680,4171.5981,normal,0
2023-11-23 00:14:41.873320,801,601,5372.5196,normal,0
2023-11-23 00:14:41.932355,910,600,5431.5546,normal,0
2023-11-23 00:14:41.937363,923,598,5435.5504,normal,0
2023-11-23 00:14:41.957346,986,596,5455.5336,normal,0
2023-11-23 00:14:41.961341,998,594,5460.5397,normal,0
2023-11-23 00:14:42.001064,1127,584,5500.2635,normal,0
2023-11-23 00:14:42.037065,1251,557,5536.2646,normal,0
2023-11-23 00:14:42.052723,1313,533,5551.922,normal,0
2023-11-23 00:14:42.072700,1397,479,5571.8993,normal,0
2023-11-23 00:14:42.088705,1470,411,5587.9039,normal,0
2023-11-23 00:14:42.140706,1658,171,5639.9051,normal,0
2023-11-23 00:14:42.169220,1690,110,5668.419,normal,0
2023-11-23 00:14:42.189216,1697,87,5688.4149,normal,0
2023-11-23 00:14:42.245248,1698,53,5744.4473,normal,0
2023-11-23 00:14:42.265217,1697,43,5764.4165,normal,0
2023-11-23 00:14:42.305217,1689,23,5804.4163,normal,0
2023-11-23 00:14:42.341223,1681,16,5840.4226,normal,0
2023-11-23 00:14:42.385225,1670,14,5884.4242,normal,0
2023-11-23 00:14:42.544237,1663,17,6043.4359,stop,0
2023-11-23 00:14:42.644553,1663,18,6143.7521,start,0
2023-11-23 00:14:42.909165,1660,18,6408.364,normal,0
2023-11-23 00:14:43.105141,987,101,6604.3401,normal,0
2023-11-23 00:14:43.188648,826,112,6687.8471,normal,0
2023-11-23 00:14:43.242673,816,115,6741.8723,normal,0
2023-11-23 00:14:43.569597,802,123,7068.7964,stop,0
2023-11-23 00:14:43.792651,801,123,7291.8498,start,0
2023-11-23 00:14:47.092312,799,127,10591.5108,normal,0
2023-11-23 00:14:47.125282,803,137,10624.4808,normal,0
2023-11-23 00:14:47.292324,873,342,10791.5234,normal,0
2023-11-23 00:14:47.597011,884,360,11096.21,normal,0
2023-11-23 00:14:47.889724,878,369,11388.9229,normal,0
2023-11-23 00:14:47.904721,878,380,11403.92,normal,0
2023-11-23 00:14:47.920733,876,390,11419.932,normal,0
2023-11-23 00:14:47.960758,867,413,11459.9573,normal,0
2023-11-23 00:14:47.983762,862,422,11482.9613,normal,0
2023-11-23 00:14:48.399157,859,439,11898.3566,stop,0
2023-11-23 00:14:49.036273,859,438,12535.4719,start,0
2023-11-23 00:14:50.161496,850,428,13659.6835,normal,0
2023-11-23 00:14:50.260511,695,419,13759.7106,normal,0
2023-11-23 00:14:50.269543,675,416,13768.742,normal,0
2023-11-23 00:14:50.289543,616,414,13787.739,normal,0
2023-11-23 00:14:50.292761,604,412,13791.9605,normal,0
2023-11-23 00:14:50.308752,557,410,13807.9513,normal,0
2023-11-23 00:14:50.312750,546,408,13811.9491,normal,0
2023-11-23 00:14:50.517242,294,403,14016.4412,normal,0
2023-11-23 00:14:50.529242,283,401,14028.4407,normal,0
2023-11-23 00:14:50.552950,261,400,14052.1488,normal,0
2023-11-23 00:14:50.609502,241,395,14108.7007,normal,0
2023-11-23 00:14:51.493235,249,388,14992.4343,normal,0
2023-11-23 00:14:51.609231,316,367,15108.4304,normal,0
