Date,X,Y,T,Marker,Condition
2024-03-03 15:38:17.874454,984,408,0.0,start,1
2024-03-03 15:38:19.272078,969,408,1397.624,normal,1
2024-03-03 15:38:19.280257,950,408,1405.8033,normal,1
2024-03-03 15:38:19.284260,937,408,1409.8065,normal,1
2024-03-03 15:38:19.288328,922,406,1413.8744,normal,1
2024-03-03 15:38:19.292431,905,406,1417.977,normal,1
2024-03-03 15:38:19.296432,887,405,1421.978,normal,1
2024-03-03 15:38:19.299946,866,404,1425.492,normal,1
2024-03-03 15:38:19.304477,842,404,1430.0228,normal,1
2024-03-03 15:38:19.308471,812,404,1434.0168,normal,1
2024-03-03 15:38:19.312471,780,402,1438.0174,normal,1
2024-03-03 15:38:19.316473,745,400,1442.0188,normal,1
2024-03-03 15:38:19.320482,711,400,1446.0284,normal,1
2024-03-03 15:38:19.324184,670,398,1449.7297,normal,1
2024-03-03 15:38:19.328243,632,396,1453.7894,normal,1
2024-03-03 15:38:19.332195,590,394,1457.7412,normal,1
2024-03-03 15:38:19.336266,552,392,1461.812,normal,1
2024-03-03 15:38:19.340149,514,390,1465.6947,normal,1
2024-03-03 15:38:19.344159,477,390,1469.7054,normal,1
2024-03-03 15:38:19.348406,442,388,1473.9523,normal,1
2024-03-03 15:38:19.352365,408,388,1477.9109,normal,1
2024-03-03 15:38:19.355621,376,386,1481.1671,normal,1
2024-03-03 15:38:19.359639,349,386,1485.1848,normal,1
2024-03-03 15:38:19.364029,324,384,1489.5755,normal,1
2024-03-03 15:38:19.368153,304,384,1493.699,normal,1
2024-03-03 15:38:19.372263,285,383,1497.8094,normal,1
2024-03-03 15:38:19.376264,269,383,1501.8099,normal,1
2024-03-03 15:38:19.380254,254,383,1505.8002,normal,1
2024-03-03 15:38:19.384275,241,381,1509.8209,normal,1
2024-03-03 15:38:19.388255,229,381,1513.8008,normal,1
2024-03-03 15:38:19.392256,217,381,1517.8019,normal,1
2024-03-03 15:38:19.396257,207,380,1521.8033,normal,1
2024-03-03 15:38:19.404176,193,379,1529.722,normal,1
2024-03-03 15:38:19.415949,178,379,1541.4951,normal,1
2024-03-03 15:38:19.427927,166,377,1553.4731,normal,1
2024-03-03 15:38:19.443783,155,377,1569.3292,normal,1
2024-03-03 15:38:19.456504,145,375,1582.0498,normal,1
2024-03-03 15:38:19.474862,134,375,1600.4086,normal,1
2024-03-03 15:38:19.496065,123,374,1621.6115,normal,1
2024-03-03 15:38:19.515509,112,373,1641.0553,normal,1
2024-03-03 15:38:19.536665,101,370,1662.2116,normal,1
2024-03-03 15:38:19.554926,90,366,1680.4717,normal,1
2024-03-03 15:38:19.632473,89,356,1758.0191,normal,1
2024-03-03 15:38:19.672568,95,347,1798.1141,normal,1
